Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 29.09     41.46    41.46 457545339     0.00     0.00  S_regmatch
  8.97     54.24    12.78 424923171     0.00     0.00  Perl_pp_match
  8.81     66.80    12.56 504929099     0.00     0.00  Perl_pp_multideref
  8.45     78.84    12.05 506590355     0.00     0.00  Perl_hv_common
  5.71     86.97     8.13 429181430     0.00     0.00  Perl_regexec_flags
  3.04     91.30     4.33 953700079     0.00     0.00  Perl_leave_scope
  2.98     95.54     4.24 462188774     0.00     0.00  Perl_av_fetch
  2.11     98.54     3.00 464500736     0.00     0.00  Perl_vivify_ref
  1.44    100.59     2.05 209457315     0.00     0.00  Perl_pp_nextstate
  1.26    102.39     1.80 2178984290     0.00     0.00  S_ReANY
  1.04    103.87     1.48 420611460     0.00     0.00  Perl_pp_preinc
  0.98    105.26     1.39 457545339     0.00     0.00  S_regtry
  0.95    106.61     1.35 95136133     0.00     0.00  Perl_sv_setsv_flags
  0.93    107.93     1.32 110983018     0.00     0.00  Perl_pp_const
  0.93    109.25     1.32    18552     0.00     0.00  S_mergesortsv
  0.87    110.49     1.24 426267029     0.00     0.00  S_cleanup_regmatch_info_aux
  0.86    111.71     1.22   707767     0.00     0.00  Perl_runops_standard
  0.78    112.82     1.11    11309     0.00     0.00  S_softref2xv_lite
  0.76    113.90     1.08 23335835     0.00     0.00  S_unshare_hek_or_pvn
  0.72    114.92     1.02 446371688     0.00     0.00  Perl_pp_or
  0.68    115.89     0.97  8504125     0.00     0.00  S_SvPADSTALE_off
  0.65    116.81     0.92 220071415     0.00     0.00  Perl_sv_cmp_flags
  0.62    117.69     0.88 528717179     0.00     0.00  Perl_pp_gvsv
  0.58    118.52     0.83 210806876     0.00     0.00  Perl_pp_padsv
  0.55    119.31     0.79 442530218     0.00     0.00  Perl_pp_unstack
  0.55    120.09     0.78 2249641753     0.00     0.00  S_ReANY
  0.51    120.82     0.73  8271266     0.00     0.00  Perl_pp_cond_expr
