Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.00      0.03     0.03   865777     0.00     0.00  Perl_sv_catpvn_flags
  8.00      0.05     0.02   133403     0.00     0.00  Perl_hv_common
  8.00      0.07     0.02    80175     0.00     0.00  Perl_pp_split
  8.00      0.09     0.02    53441     0.00     0.00  S_mergesortsv
  8.00      0.11     0.02    53441     0.00     0.00  dynprep
  4.00      0.12     0.01   918138     0.00     0.00  Perl_sv_setpvn
  4.00      0.13     0.01   784159     0.00     0.00  Perl_sv_2mortal
  4.00      0.14     0.01   757649     0.00     0.00  Perl_newSVpvn
  4.00      0.15     0.01   320270     0.00     0.00  Perl_sv_setsv_flags
  4.00      0.16     0.01   292418     0.00     0.00  Perl_push_scope
  4.00      0.17     0.01    79366     0.00     0.00  Perl_pp_iter
  4.00      0.18     0.01    53505     0.00     0.00  S_share_hek_flags
  4.00      0.19     0.01    53450     0.00     0.00  Perl_pp_helem
  4.00      0.20     0.01    53132     0.00     0.00  Perl_pp_cond_expr
  4.00      0.21     0.01    26725     0.00     0.00  S_do_chomp
  4.00      0.22     0.01    26410     0.00     0.00  Perl_pp_aassign
  4.00      0.23     0.01        1    10.00    10.53  Perl_do_kv
  4.00      0.24     0.01                             Perl_pp_sne
  4.00      0.25     0.01                             S_sv_only_taint_gmagic
  0.00      0.25     0.00  1518390     0.00     0.00  S_SvREFCNT_dec
  0.00      0.25     0.00  1518383     0.00     0.00  Perl_sv_cmp_flags
  0.00      0.25     0.00  1353163     0.00     0.00  Perl_pp_gvsv
  0.00      0.25     0.00  1162375     0.00     0.00  Perl_sv_cmp
  0.00      0.25     0.00  1103991     0.00     0.00  Perl_sv_upgrade
  0.00      0.25     0.00   923598     0.00     0.00  Perl_safesysmalloc
  0.00      0.25     0.00   917630     0.00     0.00  Perl_sv_clear
  0.00      0.25     0.00   917626     0.00     0.00  Perl_sv_free2
  0.00      0.25     0.00   899339     0.00     0.00  Perl_sv_grow
  0.00      0.25     0.00   864336     0.00     0.00  S_SvREFCNT_dec_NN
  0.00      0.25     0.00   835917     0.00     0.00  Perl_pp_nextstate
  0.00      0.25     0.00   788593     0.00     0.00  Perl_safesysfree
  0.00      0.25     0.00   622133     0.00     0.00  Perl_leave_scope
  0.00      0.25     0.00   596265     0.00     0.00  Perl_sv_setiv
  0.00      0.25     0.00   409458     0.00     0.00  Perl_pp_leavesub
  0.00      0.25     0.00   399971     0.00     0.00  Perl_pp_pushmark
  0.00      0.25     0.00   356020     0.00     0.00  Perl_runops_standard
  0.00      0.25     0.00   356008     0.00     0.00  Perl_pp_scmp
  0.00      0.25     0.00   356008     0.00     0.00  S_sortcv
  0.00      0.25     0.00   347178     0.00     0.00  Perl_pp_const
  0.00      0.25     0.00   293099     0.00     0.00  Perl_pp_gv
  0.00      0.25     0.00   292418     0.00     0.00  Perl_pop_scope
  0.00      0.25     0.00   266332     0.00     0.00  Perl_pp_rv2av
