Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 31.77     41.95    41.95 457545339     0.00     0.00  S_regmatch
  8.78     53.54    11.59 424923171     0.00     0.00  Perl_pp_match
  7.96     64.05    10.51 504929099     0.00     0.00  Perl_pp_multideref
  7.75     74.28    10.23 429181430     0.00     0.00  Perl_regexec_flags
  6.96     83.47     9.19 506576246     0.00     0.00  Perl_hv_common
  3.64     88.28     4.81 462188774     0.00     0.00  Perl_av_fetch
  3.32     92.66     4.38 953700079     0.00     0.00  Perl_leave_scope
  1.93     95.21     2.55 464500736     0.00     0.00  Perl_vivify_ref
  1.39     97.05     1.84    18552     0.00     0.00  Perl_sortsv_flags
  1.33     98.81     1.76 420611460     0.00     0.00  Perl_pp_preinc
  1.21    100.41     1.60 209457315     0.00     0.00  Perl_pp_nextstate
  1.05    101.80     1.39 95136133     0.00     0.00  Perl_sv_setsv_flags
  0.89    102.97     1.17 220071415     0.00     0.00  Perl_sv_cmp_flags
  0.89    104.14     1.17    11309     0.00     0.00  S_softref2xv_lite
  0.84    105.25     1.11 446371688     0.00     0.00  Perl_pp_or
  0.83    106.35     1.10 110983018     0.00     0.00  Perl_pp_const
  0.76    107.36     1.01   819508     0.00     0.00  S_pushav
  0.61    108.16     0.80 528717179     0.00     0.00  Perl_pp_gvsv
  0.57    108.91     0.75 23335835     0.00     0.00  S_unshare_hek_or_pvn
  0.56    109.65     0.74 21377025     0.00     0.00  Perl_pp_iter
  0.48    110.28     0.63 49720911     0.00     0.00  Perl_sv_eq_flags
  0.46    110.89     0.61 442530218     0.00     0.00  Perl_pp_unstack
  0.46    111.50     0.61   707767     0.00     0.00  Perl_runops_standard
  0.45    112.10     0.60  3897224     0.00     0.00  Perl_pp_gv
  0.45    112.70     0.60      185     0.00     0.00  S_clear_yystack
  0.45    113.30     0.60 41816176     0.00     0.00  Perl_pp_enterloop
  0.43    113.87     0.57  8271266     0.00     0.00  Perl_pp_cond_expr
  0.42    114.43     0.56                             S_destroy_matcher
  0.42    114.98     0.55 160439111     0.00     0.00  Perl_pp_and
  0.41    115.52     0.54        3     0.18     0.18  Perl_pp_qr
  0.41    116.06     0.54                             Perl_pregexec
  0.41    116.60     0.54 20876923     0.00     0.00  Perl_hv_iternext_flags
  0.39    117.12     0.52   401975     0.00     0.00  Perl_pp_eq
  0.39    117.63     0.51 465576726     0.00     0.00  Perl_save_pushptr
  0.38    118.13     0.50 114344000     0.00     0.00  Perl_pop_scope
  0.35    118.59     0.46 49291839     0.00     0.00  Perl_pp_seq
  0.32    119.01     0.42 20847014     0.00     0.00  Perl_newSVhek
  0.31    119.42     0.41 210806876     0.00     0.00  Perl_pp_padsv
  0.29    119.80     0.38 22950661     0.00     0.00  S_reg_set_capture_string
  0.27    120.16     0.36 399572254     0.00     0.00  Perl_pp_stub
  0.27    120.52     0.36 37862876     0.00     0.00  Perl_sv_clear
  0.27    120.87     0.35 429579221     0.00     0.00  Perl_save_destructor_x
  0.26    121.21     0.34 40780420     0.00     0.00  Perl_pp_i_gt
  0.26    121.55     0.34    26964     0.00     0.00  Perl_pp_sle
  0.26    121.89     0.34 457651021     0.00     0.00  Perl_ckwarn
  0.25    122.21     0.33 426267029     0.00     0.00  S_cleanup_regmatch_info_aux
  0.24    122.53     0.32 74504641     0.00     0.00  Perl_pp_sassign
  0.18    122.77     0.24   548356     0.00     0.00  sha512
  0.18    123.01     0.24 30761631     0.00     0.00  S_sv_uncow
  0.18    123.25     0.24  3605948     0.00     0.00  Perl_pp_entersub
  0.17    123.48     0.23 24481279     0.00     0.00  Perl_pp_rv2av
  0.17    123.70     0.22                             Perl_ck_warner
  0.17    123.92     0.22                             S_outside_integer
  0.17    124.14     0.22 37874794     0.00     0.00  Perl_sv_upgrade
  0.16    124.35     0.21 20491336     0.00     0.00  Perl_pp_grepwhile
  0.16    124.56     0.21 459491812     0.00     0.00  Perl_safesysfree
  0.14    124.75     0.19  3834864     0.00     0.00  Perl_pp_subst
  0.14    124.94     0.19  2322688     0.00     0.00  S_find_byclass
  0.14    125.12     0.18 41440792     0.00     0.00  Perl_pp_leaveloop
  0.14    125.30     0.18                             Perl_save_destructor
  0.14    125.48     0.18 22761544     0.00     0.00  Perl_sv_setsv_cow
  0.13    125.65     0.17                             Perl_pp_i_lt
  0.13    125.82     0.17                             Perl_save_aptr
  0.13    125.99     0.17  4280858     0.00     0.00  Perl_fbm_instr
  0.13    126.16     0.17    19518     0.00     0.00  Perl_pp_sort
  0.12    126.32     0.16 37861638     0.00     0.00  Perl_sv_free2
  0.12    126.48     0.16 27938705     0.00     0.00  S_reginclass
  0.12    126.64     0.16  4220262     0.00     0.00  Perl_pp_aassign
  0.11    126.79     0.15 30891606     0.00     0.00  S_regtry
  0.11    126.93     0.14 13863020     0.00     0.00  S_regrepeat
  0.10    127.06     0.13  7326160     0.00     0.00  Perl_free_tmps
  0.10    127.19     0.13  2165149     0.00     0.00  Perl_safesysrealloc
  0.10    127.32     0.13                             Perl_pp_i_modulo
  0.09    127.44     0.12  1905854     0.00     0.00  Perl_pp_null
  0.08    127.55     0.11 20605459     0.00     0.00  Perl_pp_i_add
  0.08    127.66     0.11  1544851     0.00     0.00  Perl_pp_substcont
  0.08    127.77     0.11   424048     0.00     0.00  Perl_newSVpvn
  0.08    127.88     0.11   390127     0.00     0.00  Perl_sv_vcatpvfn_flags
  0.08    127.98     0.10 51213261     0.00     0.00  Perl_save_strlen
  0.08    128.08     0.10 47912382     0.00     0.00  Perl_sv_setiv
  0.08    128.18     0.10 39965427     0.00     0.00  Perl_pp_i_le
  0.08    128.28     0.10  8166627     0.00     0.00  Perl_sv_catpvn_flags
  0.08    128.38     0.10  3436274     0.00     0.00  Perl_re_intuit_start
  0.08    128.48     0.10  2611140     0.00     0.00  Perl_pp_leavesub
  0.08    128.58     0.10   726346     0.00     0.00  Perl_av_extend_guts
  0.07    128.67     0.09 115642289     0.00     0.00  Perl_push_scope
  0.07    128.76     0.09  2341595     0.00     0.00  Perl_mg_get
  0.07    128.85     0.09    30709     0.00     0.00  Perl_pp_print
  0.06    128.93     0.08 32736684     0.00     0.00  Perl_sv_force_normal_flags
  0.06    129.01     0.08  2116962     0.00     0.00  Perl_pp_concat
  0.06    129.09     0.08   598560     0.00     0.00  Perl_pp_split
  0.06    129.17     0.08   386166     0.00     0.00  S_regatom
  0.05    129.24     0.07   775952     0.00     0.00  S_share_hek_flags
  0.05    129.30     0.06 45554427     0.00     0.00  S_leave_common
  0.05    129.36     0.06  3453601     0.00     0.00  Perl_pp_padrange
  0.05    129.42     0.06   572246     0.00     0.00  Perl_pp_lc
  0.05    129.48     0.06    95498     0.00     0.00  S_study_chunk
  0.05    129.54     0.06                             Perl_pp_dbstate
