Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  3.09      1.92     1.92     1329     0.00     0.00  df_worklist_dataflow
  2.70      3.60     1.68 178091693     0.00     0.00  bitmap_set_bit
  2.16      4.94     1.34      395     0.00     0.00  df_note_compute
  1.93      6.14     1.20 45585784     0.00     0.00  bitmap_ior_into
  1.71      7.20     1.06 178942441     0.00     0.00  bitmap_bit_p
  1.62      8.20     1.01  9345879     0.00     0.00  bitmap_and
  1.47      9.11     0.91  3338869     0.00     0.00  sched_analyze_insn
  1.30      9.92     0.81 41324190     0.00     0.00  find_reg_note
  1.26     10.71     0.79 12425566     0.00     0.00  bitmap_copy
  1.26     11.49     0.78      307     0.00     0.01  fast_dce
  1.14     12.19     0.71 77643366     0.00     0.00  bitmap_elt_ior
  1.10     12.87     0.68 23484180     0.00     0.00  et_splay
  1.10     13.55     0.68   797615     0.00     0.00  df_lr_bb_local_compute
  1.06     14.21     0.66      553     0.00     0.00  cleanup_cfg
  1.03     14.85     0.64    61965     0.00     0.00  rtl_split_edge
  0.95     15.44     0.59     1071     0.00     0.00  inverted_post_order_compute
  0.95     16.03     0.59 11714459     0.00     0.00  bitmap_ior_and_compl
  0.90     16.59     0.56 12232200     0.00     0.00  bitmap_and_into
  0.90     17.15     0.56     1026     0.00     0.00  calc_idoms
  0.84     17.67     0.52 22847491     0.00     0.00  gsi_start_phis
  0.77     18.15     0.48  1742984     0.00     0.00  cse_insn
  0.74     18.61     0.46   597973     0.00     0.00  sbitmap_a_or_b
  0.74     19.07     0.46     1569     0.00     0.00  calc_dfs_tree_nonrec
  0.74     19.53     0.46   797725     0.00     0.00  df_live_bb_local_compute
  0.71     19.97     0.44     1122     0.00     0.00  find_unreachable_blocks
  0.69     20.40     0.43       38     0.01     0.16  ira
  0.68     20.82     0.43 85030714     0.00     0.00  pool_alloc
  0.68     21.24     0.42  1263270     0.00     0.00  record_reg_classes
  0.68     21.66     0.42       76     0.01     0.01  regstat_compute_ri
  0.67     22.08     0.42  8512765     0.00     0.00  hash_rtx_cb
  0.63     22.47     0.39 13672906     0.00     0.00  extract_insn
  0.61     22.85     0.38      230     0.00     0.00  perform_tree_ssa_dce
  0.61     23.23     0.38     1071     0.00     0.00  post_order_compute
  0.58     23.59     0.36  2891267     0.00     0.00  spec_qsort
  0.53     23.92     0.33      375     0.00     0.00  init_alias_analysis
  0.53     24.25     0.33    12896     0.00     0.00  vrp_visit_phi_node
  0.52     24.57     0.32  1428867     0.00     0.00  rewrite_update_enter_block
  0.52     24.89     0.32  1362967     0.00     0.00  preprocess_constraints
  0.50     25.20     0.31  6726408     0.00     0.00  fold_binary_loc
  0.50     25.51     0.31  5374348     0.00     0.00  constrain_operands
  0.48     25.81     0.30      524     0.00     0.00  remove_unused_locals
  0.48     26.11     0.30  2601470     0.00     0.00  df_simulate_one_insn_forwards
  0.47     26.40     0.29 20160139     0.00     0.00  htab_find_slot_with_hash
  0.43     26.67     0.27      213     0.00     0.00  rebuild_jump_labels
  0.43     26.94     0.27 14239009     0.00     0.00  bitmap_obstack_free
  0.42     27.20     0.26 125491430     0.00     0.00  bitmap_clear_bit
  0.42     27.46     0.26  7136039     0.00     0.00  may_trap_p_1
  0.42     27.72     0.26   736177     0.00     0.00  vinsn_create
  0.42     27.98     0.26      840     0.00     0.00  flow_loops_find
  0.42     28.24     0.26 16893731     0.00     0.00  any_condjump_p
  0.41     28.49     0.26 42874309     0.00     0.00  bitmap_clear
