Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 42.76     66.33    66.33 195708139     0.00     0.00  bt_find_func
 15.75     90.76    24.43 189844529     0.00     0.00  helper2
  7.38    102.21    11.45 66435858     0.00     0.00  bt_skip_func
  7.24    113.44    11.23 195785210     0.00     0.00  lzma_mf_bt4_find
  2.78    117.76     4.32 1486399284     0.00     0.00  get_pos_len_price
  2.75    122.02     4.26 3509320374     0.00     0.00  get_len_price
  2.61    126.08     4.06 27229463     0.00     0.00  rc_encode
  2.29    129.63     3.55 275154110     0.00     0.00  get_literal_price
  1.91    132.60     2.97    44106     0.00     0.00  lzma_decode
  1.64    135.14     2.54 3323890816     0.00     0.00  Rot
  1.15    136.93     1.79 2354835913     0.00     0.00  rc_bit_price
  1.04    138.54     1.61 268900827     0.00     0.00  get_pure_rep_price
  1.00    140.09     1.55 1258327880     0.00     0.00  get_pos_slot_2
  0.97    141.60     1.51   463536     0.00     0.00  lzma_mf_bt4_skip
  0.54    142.44     0.84  4516156     0.00     0.00  sha_compress
  0.52    143.24     0.80    80863     0.00     0.00  lzma_crc64
  0.50    144.01     0.77 870471159     0.00     0.00  rc_bit_0_price
  0.46    144.72     0.72 27196108     0.00     0.00  lzma_lzma_optimum_normal
  0.44    145.41     0.69 361292480     0.00     0.00  Sigma1
  0.41    146.05     0.64 289033984     0.00     0.00  Gamma0
  0.40    146.67     0.62 361292480     0.00     0.00  Sigma0
  0.40    147.29     0.62 195785210     0.00     0.00  lzma_mf_find
  0.37    147.86     0.57 361292480     0.00     0.00  Ch
  0.33    148.37     0.51 855813784     0.00     0.00  rc_bit_1_price
  0.30    148.83     0.46 289033984     0.00     0.00  Gamma1
  0.29    149.28     0.45 338314708     0.00     0.00  rc_bit
  0.26    149.68     0.40 361292480     0.00     0.00  Maj
  0.21    150.01     0.33 262143997     0.00     0.00  move_pos
  0.19    150.30     0.29 40838599     0.00     0.00  rc_shift_low
  0.17    150.57     0.27 578067968     0.00     0.00  Sh
  0.15    150.80     0.24 262598398     0.00     0.00  mf_avail
  0.15    151.03     0.23 106255176     0.00     0.00  get_short_rep_price
  0.15    151.26     0.23   463535     0.00     0.00  mf_skip
  0.14    151.48     0.22 195785210     0.00     0.00  mf_ptr
  0.14    151.69     0.21 85259805     0.00     0.00  get_rep_price
  0.14    151.90     0.21 11147428     0.00     0.00  rc_bittree_reverse_price
  0.13    152.10     0.20 33521441     0.00     0.00  make_literal
  0.12    152.29     0.19 262598395     0.00     0.00  mf_ptr
  0.12    152.48     0.19        3     0.06     0.06  move_pending
  0.12    152.67     0.19   858569     0.00     0.00  backward
  0.12    152.85     0.18 41936004     0.00     0.00  rc_bittree_price
  0.12    153.03     0.18 32625082     0.00     0.00  rc_bittree
  0.12    153.21     0.18        1     0.18     0.18  spec_mem_init
  0.10    153.37     0.16  8657929     0.00     0.00  rc_direct
  0.10    153.53     0.16    32690     0.00     0.00  lzma_lzma_encode
  0.10    153.68     0.15 72258496     0.00     0.00  load64
  0.08    153.81     0.13  3764737     0.00     0.00  make_short_rep
  0.08    153.94     0.13  5940681     0.00     0.00  helper1
  0.08    154.06     0.12 195785210     0.00     0.00  mf_avail
  0.06    154.16     0.10                             lzma_mf_bt3_skip
  0.05    154.24     0.08 27196108     0.00     0.00  encode_symbol
  0.05    154.32     0.08 17285192     0.00     0.00  dict_repeat
  0.05    154.40     0.08 10797570     0.00     0.00  match
  0.05    154.48     0.08 14359023     0.00     0.00  rc_bittree_price
  0.05    154.55     0.07 18220329     0.00     0.00  dict_get
  0.04    154.61     0.06 10673650     0.00     0.00  dict_put
  0.04    154.67     0.06 12401955     0.00     0.00  literal
  0.04    154.72     0.06 96638504     0.00     0.00  rc_bit_price
  0.03    154.77     0.05 10750592     0.00     0.00  rc_bittree_reverse
  0.03    154.81     0.04 14332235     0.00     0.00  length
  0.03    154.85     0.04                             lzma_mf_bt2_skip
  0.02    154.89     0.04        1     0.04     0.04  mf_skip
  0.02    154.92     0.04                             lzma_mf_bt2_find
  0.02    154.95     0.03 10797570     0.00     0.00  get_pos_slot
  0.02    154.98     0.03  4906679     0.00     0.00  literal_matched
  0.02    155.01     0.03   227921     0.00     0.00  length_update_prices
  0.01    155.03     0.02 17805619     0.00     0.00  dict_is_distance_valid
  0.01    155.05     0.02       27     0.00     0.00  move_window
  0.01    155.07     0.02    32690     0.00     0.00  mf_position
  0.01    155.08     0.01 27228797     0.00     0.00  rc_pending
  0.01    155.09     0.01  8614104     0.00     0.00  rc_direct_price
  0.01    155.10     0.01  7854036     0.00     0.00  get_pos_slot
  0.01    155.11     0.01  3996583     0.00     0.00  rep_match
  0.01    155.12     0.01    75987     0.00     0.00  spec_mem_feof
  0.01    155.13     0.01    63339     0.00     0.00  fill_distances_prices
  0.01    155.14     0.01    44106     0.00     0.00  rc_read_init
  0.01    155.15     0.01    36316     0.00     0.00  block_encode
  0.00    155.15     0.01   205837     0.00     0.00  fill_align_prices
  0.00    155.16     0.01                             mf_skip
  0.00    155.16     0.00   455842     0.00     0.00  rc_bit_0_price
  0.00    155.16     0.00   455842     0.00     0.00  rc_bit_1_price
  0.00    155.16     0.00    89094     0.00     0.00  update_size
  0.00    155.16     0.00    80867     0.00     0.00  lzma_check_update
  0.00    155.16     0.00    80863     0.00     0.00  lzma_code
  0.00    155.16     0.00    44549     0.00     0.00  lzma2_decode
  0.00    155.16     0.00    44547     0.00     0.00  block_decode
  0.00    155.16     0.00    44547     0.00     0.00  decode_buffer
  0.00    155.16     0.00    44547     0.00     0.00  lz_decode
  0.00    155.16     0.00    44547     0.00     0.00  stream_decode
  0.00    155.16     0.00    43547     0.00     0.00  spec_mem_fwrite
  0.00    155.16     0.00    38440     0.00     0.00  lzma_bufcpy
  0.00    155.16     0.00    37990     0.00     0.00  spec_mem_fread
  0.00    155.16     0.00    37007     0.00     0.00  lzma2_encode
  0.00    155.16     0.00    36316     0.00     0.00  lz_encode
  0.00    155.16     0.00    36316     0.00     0.00  stream_encode
  0.00    155.16     0.00    32027     0.00     0.00  fill_window
  0.00    155.16     0.00     1239     0.00     0.00  dict_write
  0.00    155.16     0.00      731     0.00     0.00  rc_reset
  0.00    155.16     0.00      722     0.00     0.00  lzma_decoder_uncompressed
  0.00    155.16     0.00      666     0.00     0.00  mf_unencoded
  0.00    155.16     0.00      665     0.00     0.00  rc_flush
  0.00    155.16     0.00      600     0.00     0.00  lzma2_header_lzma
  0.00    155.16     0.00      549     0.00     0.00  mf_read
  0.00    155.16     0.00      132     0.00     0.00  length_encoder_reset
  0.00    155.16     0.00      128     0.00     0.00  hex_char_to_num
  0.00    155.16     0.00       67     0.00     0.00  is_lclppb_valid
  0.00    155.16     0.00       66     0.00     0.00  is_options_valid
  0.00    155.16     0.00       66     0.00     0.00  literal_init
  0.00    155.16     0.00       66     0.00     0.00  lzma_lzma_encoder_reset
  0.00    155.16     0.00       65     0.00     0.00  lzma2_header_uncompressed
  0.00    155.16     0.00       40     0.00     0.00  lzma_free
  0.00    155.16     0.00       31     0.00     0.00  lzma_alloc
