Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 34.10      7.00     7.00 41881779     0.00     0.00  bt_find_func
 19.90     11.09     4.09 41882082     0.00     0.00  lzma_mf_bt4_find
 17.88     14.76     3.67 40990979     0.00     0.00  rc_encode
  7.11     16.22     1.46     4886     0.00     0.00  lzma_decode
  2.29     16.69     0.47 367318462     0.00     0.00  rc_bit
  1.80     17.06     0.37 574718848     0.00     0.00  Rot
  1.53     17.37     0.32 39380744     0.00     0.00  rc_bittree
  1.53     17.69     0.32 40952904     0.00     0.00  rc_shift_low
  1.49     17.99     0.31 37465743     0.00     0.00  helper1
  1.22     18.24     0.25     5800     0.00     0.00  lzma_lzma_encode
  1.07     18.46     0.22  4416339     0.00     0.00  helper2
  0.95     18.66     0.20 40984512     0.00     0.00  lzma_lzma_optimum_normal
  0.78     18.82     0.16 39807659     0.00     0.00  literal
  0.68     18.96     0.14        1     0.14     0.14  spec_mem_init
  0.58     19.08     0.12   780868     0.00     0.00  sha_compress
  0.54     19.19     0.11    23420     0.00     0.00  lzma_crc64
  0.44     19.28     0.09 62469440     0.00     0.00  Sigma0
  0.44     19.37     0.09 49975552     0.00     0.00  Gamma1
  0.44     19.46     0.09  6238542     0.00     0.00  get_literal_price
  0.41     19.54     0.09 41882082     0.00     0.00  lzma_mf_find
  0.39     19.62     0.08 49975552     0.00     0.00  Gamma0
  0.37     19.70     0.08 40990312     0.00     0.00  rc_pending
  0.37     19.77     0.08 40984512     0.00     0.00  encode_symbol
  0.34     19.84     0.07 62469440     0.00     0.00  Ch
  0.29     19.90     0.06 99951104     0.00     0.00  Sh
  0.24     19.95     0.05 62469440     0.00     0.00  Maj
  0.24     20.00     0.05 62469440     0.00     0.00  Sigma1
  0.22     20.05     0.05 41943037     0.00     0.00  move_pos
  0.19     20.09     0.04 19513658     0.00     0.00  dict_get
  0.19     20.13     0.04 12493888     0.00     0.00  load64
  0.17     20.16     0.04        3     0.01     0.01  move_pending
  0.17     20.20     0.04 41943436     0.00     0.00  mf_avail
  0.15     20.23     0.03     4886     0.00     0.00  rc_read_init
  0.15     20.26     0.03 41882081     0.00     0.00  mf_ptr
  0.15     20.29     0.03  5202558     0.00     0.00  get_pos_slot_2
  0.15     20.32     0.03   712844     0.00     0.00  rc_bittree_reverse_price
  0.12     20.34     0.03                             lzma_mf_bt3_skip
  0.10     20.36     0.02 17966391     0.00     0.00  dict_put
  0.10     20.38     0.02 12559573     0.00     0.00  rc_bit_1_price
  0.10     20.40     0.02  5768139     0.00     0.00  rc_bittree_price
  0.10     20.42     0.02  5666167     0.00     0.00  get_pos_len_price
  0.10     20.44     0.02  1115106     0.00     0.00  get_short_rep_price
  0.07     20.46     0.02                             mf_skip
  0.05     20.47     0.01 56101727     0.00     0.00  rc_bit_price
  0.05     20.48     0.01 41882082     0.00     0.00  mf_avail
  0.05     20.49     0.01  5378026     0.00     0.00  make_literal
  0.05     20.50     0.01   412890     0.00     0.00  rc_bittree_price
  0.05     20.51     0.01   333802     0.00     0.00  rc_direct
  0.05     20.52     0.01     9439     0.00     0.00  lz_encode
  0.05     20.53     0.01        1     0.01     0.01  mf_skip
  0.02     20.53     0.01    20613     0.00     0.00  fill_align_prices
  0.00     20.53     0.00 41943433     0.00     0.00  mf_ptr
  0.00     20.53     0.00 11554526     0.00     0.00  rc_bit_0_price
  0.00     20.53     0.00  5758512     0.00     0.00  get_len_price
  0.00     20.53     0.00  1579041     0.00     0.00  backward
  0.00     20.53     0.00  1494936     0.00     0.00  dict_is_distance_valid
  0.00     20.53     0.00  1238670     0.00     0.00  rc_bit_price
  0.00     20.53     0.00  1160395     0.00     0.00  literal_matched
  0.00     20.53     0.00   890140     0.00     0.00  make_short_rep
  0.00     20.53     0.00   819030     0.00     0.00  rep_match
  0.00     20.53     0.00   449564     0.00     0.00  dict_repeat
  0.00     20.53     0.00   383036     0.00     0.00  get_pos_slot
  0.00     20.53     0.00   375656     0.00     0.00  length
  0.00     20.53     0.00   370680     0.00     0.00  rc_direct_price
  0.00     20.53     0.00   357823     0.00     0.00  get_pos_slot
  0.00     20.53     0.00   357823     0.00     0.00  match
  0.00     20.53     0.00   356255     0.00     0.00  rc_bittree_reverse
  0.00     20.53     0.00    62726     0.00     0.00  get_pure_rep_price
  0.00     20.53     0.00    61258     0.00     0.00  bt_skip_func
  0.00     20.53     0.00    55052     0.00     0.00  rc_bit_0_price
  0.00     20.53     0.00    55052     0.00     0.00  rc_bit_1_price
  0.00     20.53     0.00    27962     0.00     0.00  update_size
  0.00     20.53     0.00    27526     0.00     0.00  length_update_prices
  0.00     20.53     0.00    24046     0.00     0.00  spec_mem_feof
  0.00     20.53     0.00    23424     0.00     0.00  lzma_check_update
  0.00     20.53     0.00    23420     0.00     0.00  lzma_code
  0.00     20.53     0.00    17629     0.00     0.00  lzma_bufcpy
  0.00     20.53     0.00    14303     0.00     0.00  get_rep_price
  0.00     20.53     0.00    13983     0.00     0.00  lzma2_decode
  0.00     20.53     0.00    13981     0.00     0.00  block_decode
  0.00     20.53     0.00    13981     0.00     0.00  decode_buffer
  0.00     20.53     0.00    13981     0.00     0.00  lz_decode
  0.00     20.53     0.00    13981     0.00     0.00  stream_decode
