Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 50.66     75.28    75.28 195785210     0.00     0.00  lzma_mf_bt4_find
 30.43    120.49    45.21 27196108     0.00     0.00  lzma_lzma_optimum_normal
 10.03    135.39    14.90   463536     0.00     0.00  lzma_mf_bt4_skip
  3.43    140.49     5.10 27229463     0.00     0.00  rc_encode
  1.97    143.42     2.93    44106     0.00     0.00  lzma_decode
  1.27    145.31     1.89  4516156     0.00     0.00  sha_compress
  0.53    146.10     0.79 195785210     0.00     0.00  lzma_mf_find
  0.46    146.78     0.68    32690     0.00     0.00  lzma_lzma_encode
  0.44    147.43     0.65    80863     0.00     0.00  lzma_crc64
  0.41    148.04     0.61 10797570     0.00     0.00  match
  0.11    148.20     0.16 14332235     0.00     0.00  length
  0.08    148.32     0.12        1     0.12     0.12  spec_mem_init
  0.07    148.42     0.11                             lzma_mf_is_supported
  0.06    148.51     0.09   227921     0.00     0.00  length_update_prices
  0.05    148.59     0.08                             lzma_mf_bt3_skip
  0.01    148.60     0.01    44547     0.00     0.00  block_decode
  0.01    148.61     0.01        3     0.00     0.63  sha_process
  0.00    148.61     0.00    80867     0.00     0.00  lzma_check_update
  0.00    148.61     0.00    80863     0.00     0.00  lzma_code
  0.00    148.61     0.00    75987     0.00     0.00  spec_mem_feof
  0.00    148.61     0.00    44549     0.00     0.00  lzma2_decode
  0.00    148.61     0.00    44547     0.00     0.00  lz_decode
  0.00    148.61     0.00    44547     0.00     0.00  stream_decode
  0.00    148.61     0.00    43547     0.00     0.00  spec_mem_fwrite
  0.00    148.61     0.00    38440     0.00     0.00  lzma_bufcpy
  0.00    148.61     0.00    37990     0.00     0.00  spec_mem_fread
  0.00    148.61     0.00    37007     0.00     0.00  lzma2_encode
  0.00    148.61     0.00    36316     0.00     0.00  block_encode
  0.00    148.61     0.00    36316     0.00     0.00  lz_encode
  0.00    148.61     0.00    36316     0.00     0.00  stream_encode
  0.00    148.61     0.00      722     0.00     0.00  lzma_decoder_uncompressed
  0.00    148.61     0.00      132     0.00     0.00  length_encoder_reset
  0.00    148.61     0.00       66     0.00     0.00  lzma_lzma_encoder_reset
  0.00    148.61     0.00       37     0.00     0.00  lzma_free
  0.00    148.61     0.00       28     0.00     0.00  lzma_alloc
  0.00    148.61     0.00       25     0.00     0.00  lzma_vli_size
  0.00    148.61     0.00       17     0.00     0.00  lzma_next_end
  0.00    148.61     0.00       14     0.00     0.00  lzma_decoder_reset
  0.00    148.61     0.00       12     0.00     0.00  lzma_crc32
  0.00    148.61     0.00       10     0.00     0.00  lzma_check_size
  0.00    148.61     0.00       10     0.00     0.00  lzma_vli_decode
  0.00    148.61     0.00        7     0.00     0.00  lzma_check_finish
  0.00    148.61     0.00        7     0.00     0.00  lzma_check_init
  0.00    148.61     0.00        6     0.00     0.00  debug_time
  0.00    148.61     0.00        6     0.00     0.00  lzma_block_unpadded_size
  0.00    148.61     0.00        6     0.00     0.00  lzma_next_filter_init
  0.00    148.61     0.00        5     0.00     0.00  lzma_check_is_supported
  0.00    148.61     0.00        5     0.00     0.00  lzma_vli_encode
  0.00    148.61     0.00        4     0.00     0.00  decoder_find
  0.00    148.61     0.00        4     0.00     0.00  lzma_sha256_finish
  0.00    148.61     0.00        4     0.00     0.00  lzma_sha256_init
  0.00    148.61     0.00        4     0.00     0.00  lzma_sha256_update
  0.00    148.61     0.00        4     0.00     0.00  process
  0.00    148.61     0.00        3     0.00     0.00  lzma_end
  0.00    148.61     0.00        3     0.00     0.00  lzma_raw_coder_init
  0.00    148.61     0.00        3     0.00     0.00  lzma_strm_init
  0.00    148.61     0.00        3     0.00     0.00  sha_done
  0.00    148.61     0.00        3     0.00     0.00  sha_init
  0.00    148.61     0.00        3     0.00     0.63  spec_mem_sum
  0.00    148.61     0.00        2     0.00     0.00  block_decoder_end
  0.00    148.61     0.00        2     0.00     0.00  index_tree_append
  0.00    148.61     0.00        2     0.00     0.00  lz_decoder_end
  0.00    148.61     0.00        2     0.00     0.00  lzma2_decoder_end
  0.00    148.61     0.00        2     0.00     0.00  lzma2_decoder_init
  0.00    148.61     0.00        2     0.00     0.00  lzma_block_decoder_init
  0.00    148.61     0.00        2     0.00     0.00  lzma_block_header_decode
  0.00    148.61     0.00        2     0.00     0.00  lzma_filter_flags_decode
  0.00    148.61     0.00        2     0.00     0.00  lzma_index_end
  0.00    148.61     0.00        2     0.00     0.00  lzma_index_hash_append
